,上司,部下,同僚,恋人,友達,ネットユーザー,客,親,兄弟,祖父母,親戚,先生,先輩,後輩,他人,近隣住民,面接官,義両親
セクシャル,5,1,5,5,3,5,5,1,2,3,4,2,2,2,3,2,1,1
アルコール,5,1,4,2,3,1,1,4,3,1,5,4,4,1,2,1,1,3
スメル,4,3,3,2,2,1,5,2,2,3,3,2,4,2,5,2,1,2
テクノロジー,1,4,4,2,2,4,2,2,2,1,2,3,4,4,1,1,3,2
パワー,5,1,3,2,2,3,3,4,3,2,4,5,4,1,1,1,3,5
モラル,5,4,5,3,4,5,3,4,3,3,3,3,2,3,3,4,3,2
ジェンダー,3,2,3,3,3,3,2,4,3,2,2,3,3,3,2,3,5,2
ソーシャル,3,3,5,4,4,5,3,3,3,2,2,2,4,3,2,2,1,2
スモーク,3,3,5,5,3,1,3,5,5,4,4,2,4,4,3,5,1,3
カラオケ,3,2,3,2,4,1,1,1,1,1,1,1,4,2,1,1,1,1
血液型,3,2,3,3,2,4,3,3,3,2,2,3,3,2,1,2,3,3
セカンド,5,3,4,2,3,5,5,1,1,1,2,2,2,1,2,3,1,2
